ScenarioName,Variant-1,Variant-2,ScenarioYear,Location_from_at,Location_to,Input,Output,Category,VariableContext,VariableName,Value,unit,start of timeindex,end of timeindex,resolution of timeindex,Source,Method,Comment,tags,userdefined data
BASE,HIGH,,2020,CH,,,,Socio-economic,,total_population,8.67,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2030,CH,,,,Socio-economic,,total_population,9.69,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2040,CH,,,,Socio-economic,,total_population,10.50,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2050,CH,,,,Socio-economic,,total_population,11.21,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2020,CH,,,,Socio-economic,,total_population,8.67,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2030,CH,,,,Socio-economic,,total_population,9.20,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2040,CH,,,,Socio-economic,,total_population,9.26,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2050,CH,,,,Socio-economic,,total_population,9.22,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2020,CH,,,,Socio-economic,,total_population,8.67,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2030,CH,,,,Socio-economic,,total_population,9.44,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2040,CH,,,,Socio-economic,,total_population,9.88,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2050,CH,,,,Socio-economic,,total_population,10.21,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2020,CH,,,,Socio-economic,,total_households,3.87,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2030,CH,,,,Socio-economic,,total_households,4.34,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2040,CH,,,,Socio-economic,,total_households,4.76,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,HIGH,,2050,CH,,,,Socio-economic,,total_households,5.13,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2020,CH,,,,Socio-economic,,total_households,3.87,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2030,CH,,,,Socio-economic,,total_households,4.21,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2040,CH,,,,Socio-economic,,total_households,4.39,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,LOW,,2050,CH,,,,Socio-economic,,total_households,4.46,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2020,CH,,,,Socio-economic,,total_households,3.87,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2030,CH,,,,Socio-economic,,total_households,4.28,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2040,CH,,,,Socio-economic,,total_households,4.58,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
BASE,REF,,2050,CH,,,,Socio-economic,,total_households,4.79,Million,,,,"CROSS Scenarios and Drivers Definition, Version: CROSS-v2025-06",,,,
