ScenarioName,Variant-1,Variant-2,ScenarioYear,Location_from_at,Location_to,Input,Output,Category,VariableContext,VariableName,Value,unit,start of timeindex,end of timeindex,resolution of timeindex,Source,Method,Comment,tags,userdefined data
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,installed_generation_capacity,100.0,MW,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,efficiency,0.48,,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,operating_expenditure,1.6,Euro/MWh,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,co2_intensity,0.185665903,tCO2/MWh,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,downwards_ramp_rate_cost,4.18,Euro/MW/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,upwards_ramp_rate_cost,4.79,Euro/MW/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,installed_generation_capacity,200.0,MW,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,efficiency,0.6,,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,operating_expenditure,1.6,Euro/MWh,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,co2_intensity,0.185665903,tCO2/MWh,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,downwards_ramp_rate_cost,4.18,Euro/MW/h,,,,,,,,
GA,,,2035,AL,,fossil|gas,electricity,Assets,generation|thermal|gas,upwards_ramp_rate_cost,4.79,Euro/MW/h,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,generation|hydro|run_of_river,inflow_energy,1.0853811047336808,TWh/year,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,generation|hydro|run_of_river,inflow_profile,run_of_river_AL_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,generation|hydro|run_of_river,efficiency,0.9,,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,generation|hydro|run_of_river,installed_generation_capacity,604.0,MW,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|reservoir,inflow_energy,10.879291080682352,TWh/year,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|reservoir,inflow_profile,reservoir_AL_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|reservoir,installed_generation_capacity,2032.0,MW,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|reservoir,energy_storage_capacity,1.72168,TWh,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|reservoir,efficiency,0.9,,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|pump|open,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,AL,,renewable|water,electricity,Assets,storage|hydro|pump|closed,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,AL,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,inflow_energy,1.233683945072333,TWh/year,,,,,,,,
GA,,,2035,AL,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,capacity_factor,wind_onshore_AL_2035_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AL,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,efficiency,1.0,,,,,,,,,
GA,,,2035,AL,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,installed_generation_capacity,440.0,MW,,,,,,,,
GA,,,2035,AL,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,inflow_energy,1.2059671436762696,TWh/year,,,,,,,,
GA,,,2035,AL,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,capacity_factor,solar_photovoltaic_AL_2035_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AL,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,efficiency,1.0,,,,,,,,,
GA,,,2035,AL,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,installed_generation_capacity,900.0,MW,,,,,,,,
GA,,,2035,AL,,electricity,electricity,Assets,storage|battery,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,AL,,electricity,electricity,Demand,electric_appliances,final_demand,9.048288,TWh/year,,,,,,,,
GA,,,2035,AL,,electricity,electricity,Demand,electric_appliances,final_demand_profile,conventional_demand_AL_2035_2008_GA,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AL,,electricity,hydrogen,Demand,electrolysis,final_demand_profile,uniform_profile_negative,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,generation|hydro|run_of_river,inflow_energy,25.778490897699026,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,generation|hydro|run_of_river,inflow_profile,run_of_river_AT_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,generation|hydro|run_of_river,efficiency,0.9,,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,generation|hydro|run_of_river,installed_generation_capacity,5341.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|reservoir,inflow_energy,2.4362701310429054,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|reservoir,inflow_profile,reservoir_AT_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|reservoir,installed_generation_capacity,2787.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|reservoir,energy_storage_capacity,0.769036568,TWh,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|reservoir,efficiency,0.9,,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,inflow_energy,7.188107584726196,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,inflow_profile,pump_storage_open_loop_AT_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,installed_generation_capacity,8082.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,charging_capacity,7433.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,energy_storage_capacity,1.746653,TWh,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,efficiency,0.87,,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,charging_efficiency,0.82,,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|open,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|closed,installed_generation_capacity,450.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|closed,charging_capacity,450.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|closed,energy_storage_capacity,0.0036,TWh,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|closed,efficiency,0.87,,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|closed,charging_efficiency,0.82,,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pump|closed,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pondage,inflow_energy,5.462227878597103,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pondage,inflow_profile,pondage_AT_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pondage,installed_generation_capacity,1149.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pondage,energy_storage_capacity,0.005332957,TWh,,,,,,,,
GA,,,2035,AT,,renewable|water,electricity,Assets,storage|hydro|pondage,efficiency,0.9,,,,,,,,,
GA,,,2035,AT,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,inflow_energy,55.863417730611275,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,capacity_factor,wind_onshore_AT_2035_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,efficiency,1.0,,,,,,,,,
GA,,,2035,AT,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,installed_generation_capacity,22017.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,inflow_energy,33.425385734430286,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,capacity_factor,solar_photovoltaic_AT_2035_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,efficiency,1.0,,,,,,,,,
GA,,,2035,AT,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,installed_generation_capacity,28487.0,MW,,,,,,,,
GA,,,2035,AT,,renewable|others,electricity,Assets,generation|renewable|others,inflow_energy,3.33318,TWh/year,,,,,,,,
GA,,,2035,AT,,renewable|others,electricity,Assets,generation|renewable|others,inflow_profile,uniform_profile_positive,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,renewable|others,electricity,Assets,generation|renewable|others,efficiency,0.5,,,,,,,,,
GA,,,2035,AT,,renewable|others,electricity,Assets,generation|renewable|others,installed_generation_capacity,761.0,MW,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,installed_generation_capacity,845.0,MW,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,efficiency,0.36,,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,operating_expenditure,3.3,Euro/MWh,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,co2_intensity,0.2808,tCO2/MWh,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,downwards_ramp_rate_cost,3.25,Euro/MW/h,,,,,,,,
GA,,,2035,AT,,nonrenewable|others,electricity,Assets,generation|nonrenewable|others,upwards_ramp_rate_cost,10.46,Euro/MW/h,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,storage|battery,installed_generation_capacity,229.0,MW,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,storage|battery,charging_capacity,229.0,MW,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,storage|battery,energy_storage_capacity,0.0001016363407,TWh,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,storage|battery,efficiency,0.92,,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,storage|battery,charging_efficiency,0.92,,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,storage|battery,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,installed_generation_capacity,1630.0,MW,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,efficiency,0.6,,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,operating_expenditure,3.0,Euro/MWh,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,downwards_ramp_rate_cost,4.18,Euro/MW/h,,,,,,,,
GA,,,2035,AT,,hydrogen,electricity,Assets,generation|hydrogen|ccgt,upwards_ramp_rate_cost,4.79,Euro/MW/h,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,installed_generation_capacity,700.0,MW,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,efficiency,1.0,,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,operating_expenditure,240.0,Euro/MWh,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,downwards_ramp_rate_cost,0.0,Euro/MW/h,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Assets,demandside,upwards_ramp_rate_cost,0.0,Euro/MW/h,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Demand,electric_appliances,final_demand,97.071156,TWh/year,,,,,,,,
GA,,,2035,AT,,electricity,electricity,Demand,electric_appliances,final_demand_profile,conventional_demand_AT_2035_2008_GA,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,electricity,heat,Demand,space_heating,final_demand,1.034179,TWh/year,,,,,,,,
GA,,,2035,AT,,electricity,heat,Demand,space_heating,final_demand_profile,heat_pump_demand_AT_2035_2008_GA,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,electricity,transport,Demand,transport,final_demand,4.64388,TWh/year,,,,,,,,
GA,,,2035,AT,,electricity,transport,Demand,transport,final_demand_profile,electromobility_uniform_profile,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,AT,,electricity,hydrogen,Demand,electrolysis,final_demand,12.989914,TWh/year,,,,,,,,
GA,,,2035,AT,,electricity,hydrogen,Demand,electrolysis,final_demand_profile,uniform_profile_negative,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,installed_generation_capacity,1063.0,MW,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,efficiency,0.35,,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,operating_expenditure,3.3,Euro/MWh,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,co2_intensity,0.3636,tCO2/MWh,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,downwards_ramp_rate_cost,3.42,Euro/MW/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,upwards_ramp_rate_cost,3.85,Euro/MW/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,installed_generation_capacity,275.0,MW,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,efficiency,0.4,,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,operating_expenditure,3.3,Euro/MWh,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,co2_intensity,0.3636,tCO2/MWh,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,downwards_ramp_rate_cost,2.96,Euro/MW/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,upwards_ramp_rate_cost,4.41,Euro/MW/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,installed_generation_capacity,410.0,MW,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,efficiency,0.46,,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,operating_expenditure,3.3,Euro/MWh,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,co2_intensity,0.3636,tCO2/MWh,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,downwards_ramp_rate_cost,2.96,Euro/MW/h,,,,,,,,
GA,,,2035,BA,,fossil|coal|lignite,electricity,Assets,generation|thermal|coal,upwards_ramp_rate_cost,4.41,Euro/MW/h,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,generation|hydro|run_of_river,inflow_energy,0.09622382794846382,TWh/year,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,generation|hydro|run_of_river,inflow_profile,run_of_river_BA_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,generation|hydro|run_of_river,efficiency,0.9,,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,generation|hydro|run_of_river,installed_generation_capacity,41.0,MW,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|reservoir,inflow_energy,4.4364990827651605,TWh/year,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|reservoir,inflow_profile,reservoir_BA_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|reservoir,installed_generation_capacity,1906.0,MW,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|reservoir,energy_storage_capacity,1.79591,TWh,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|reservoir,efficiency,0.9,,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,inflow_energy,0.4474571428571429,TWh/year,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,inflow_profile,pump_storage_open_loop_BA_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,installed_generation_capacity,440.0,MW,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,charging_capacity,440.0,MW,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,energy_storage_capacity,0.00343,TWh,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,efficiency,0.87,,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,charging_efficiency,0.82,,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|open,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pump|closed,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pondage,inflow_energy,0.256125189098117,TWh/year,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pondage,inflow_profile,pondage_BA_2030_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pondage,installed_generation_capacity,109.0,MW,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pondage,energy_storage_capacity,0.00133,TWh,,,,,,,,
GA,,,2035,BA,,renewable|water,electricity,Assets,storage|hydro|pondage,efficiency,0.9,,,,,,,,,
GA,,,2035,BA,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,inflow_energy,2.5767332248837493,TWh/year,,,,,,,,
GA,,,2035,BA,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,capacity_factor,wind_onshore_BA_2035_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,efficiency,1.0,,,,,,,,,
GA,,,2035,BA,,renewable|wind,electricity,Assets,generation|renewable|wind|onshore,installed_generation_capacity,1152.0,MW,,,,,,,,
GA,,,2035,BA,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,inflow_energy,1.164827581055811,TWh/year,,,,,,,,
GA,,,2035,BA,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,capacity_factor,solar_photovoltaic_BA_2035_2008,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,efficiency,1.0,,,,,,,,,
GA,,,2035,BA,,renewable|solar|pv,electricity,Assets,generation|renewable|solar|pv,installed_generation_capacity,882.0,MW,,,,,,,,
GA,,,2035,BA,,electricity,electricity,Assets,storage|battery,operating_expenditure,0.001,Euro/MWh,,,,,,,,
GA,,,2035,BA,,electricity,electricity,Demand,electric_appliances,final_demand,12.038717,TWh/year,,,,,,,,
GA,,,2035,BA,,electricity,electricity,Demand,electric_appliances,final_demand_profile,conventional_demand_BA_2035_2008_GA,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BA,,electricity,hydrogen,Demand,electrolysis,final_demand_profile,uniform_profile_negative,,2035-01-01 00:00,2035-12-31 23:00,1,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,installed_generation_capacity,1038.0,MW,,,,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,efficiency,0.33,,,,,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,operating_expenditure,9.0,Euro/MWh,,,,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,maximum_downwards_ramp_rate,10.0,%/h,,,,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,maximum_upwards_ramp_rate,10.0,%/h,,,,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,downwards_ramp_rate_cost,1.44,Euro/MW/h,,,,,,,,
GA,,,2035,BE,,uranium,electricity,Assets,generation|thermal|nuclear,upwards_ramp_rate_cost,1.44,Euro/MW/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,installed_generation_capacity,828.0,MW,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,efficiency,0.41,,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,operating_expenditure,1.1,Euro/MWh,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,co2_intensity,0.185665903,tCO2/MWh,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,downwards_ramp_rate_cost,0.0,Euro/MW/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,upwards_ramp_rate_cost,15.31,Euro/MW/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,installed_generation_capacity,2368.0,MW,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,efficiency,0.6,,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,operating_expenditure,1.6,Euro/MWh,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,co2_intensity,0.185665903,tCO2/MWh,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_downwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,maximum_upwards_ramp_rate,100.0,%/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,downwards_ramp_rate_cost,4.18,Euro/MW/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,upwards_ramp_rate_cost,4.79,Euro/MW/h,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,installed_generation_capacity,244.0,MW,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,efficiency,0.42,,,,,,,,,
GA,,,2035,BE,,fossil|gas,electricity,Assets,generation|thermal|gas,operating_expenditure,1.6,Euro/MWh,,,,,,,,
